job,run,basis,xc,external_force,ix_c,ix_n,system,frame,error,msg,type,time,d,cwd
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,triple,100,False,,,0.0198,0.491787,run_6/f-603/ixs-881-883/triple/frame-100
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,triple,99,False,,,0.0198,0.638307,run_6/f-603/ixs-881-883/triple/frame-99
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,triple,98,False,,,0.0198,0.538468,run_6/f-603/ixs-881-883/triple/frame-98
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,triple,92,False,,,0.0198,0.533262,run_6/f-603/ixs-881-883/triple/frame-92
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,triple,95,False,,,0.0198,0.554965,run_6/f-603/ixs-881-883/triple/frame-95
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,triple,91,True,\n *******************************************************************************\n *   ___                                                                       *\n *  /   \                                                                      *\n * [ABORT]                                                                     *\n *  \___/         Cholesky decomposition failed. Matrix ill conditioned ?      *\n *    |                                                                        *\n *  O/|                                                                        *\n * /| |                                                                        *\n * / \                                                 cp_dbcsr_cholesky.F:120 *\n *******************************************************************************\n,Error.Cp2kError,0.0,,run_6/f-603/ixs-881-883/triple/frame-91
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,triple,94,False,,,0.0198,0.544023,run_6/f-603/ixs-881-883/triple/frame-94
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,918,920,single,99,False,,,0.0198,0.39429,run_6/f-603/ixs-918-920/single/frame-99
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,918,920,single,96,False,,,0.0198,0.403959,run_6/f-603/ixs-918-920/single/frame-96
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,918,920,single,94,True,\n *******************************************************************************\n *   ___                                                                       *\n *  /   \                                                                      *\n * [ABORT]                                                                     *\n *  \___/         Cholesky decomposition failed. Matrix ill conditioned ?      *\n *    |                                                                        *\n *  O/|                                                                        *\n * /| |                                                                        *\n * / \                                                 cp_dbcsr_cholesky.F:120 *\n *******************************************************************************\n,Error.Cp2kError,0.0,,run_6/f-603/ixs-918-920/single/frame-94
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,918,920,single,93,False,,,0.0198,0.47429,run_6/f-603/ixs-918-920/single/frame-93
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,918,920,single,97,False,,,0.0198,0.537727,run_6/f-603/ixs-918-920/single/frame-97
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,918,920,single,92,False,,,0.0198,0.453506,run_6/f-603/ixs-918-920/single/frame-92
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,918,920,single,91,False,,,0.0198,0.418079,run_6/f-603/ixs-918-920/single/frame-91
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,918,920,single,98,False,,,0.0198,0.573897,run_6/f-603/ixs-918-920/single/frame-98
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,918,920,single,95,False,,,0.0198,0.351444,run_6/f-603/ixs-918-920/single/frame-95
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,918,920,single,100,False,,,0.0198,0.513995,run_6/f-603/ixs-918-920/single/frame-100
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,918,920,triple,94,False,,,0.0198,0.566597,run_6/f-603/ixs-918-920/triple/frame-94
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,918,920,triple,100,False,,,0.0,,run_6/f-603/ixs-918-920/triple/frame-100
